l’âge,de leeftijd
le pays,het land
la particularité,het bijzondere kenmerk
la formation,de opleiding
sortir,uitgaan
un élève,een leerling
une élève,een leerlinge
à demain,tot morgen
moi,ik
Comment ça va?,Hoe gaat het?
Et toi?,En jij?
un copain,een vriend
j’habite,ik woon
Tu as quel âge?,Hoe oud ben je?
J’ai treize ans.,Ik ben dertien.
Tiens!,Hé!
bien,goed
Regarde!,Kijk!
Qui est-ce?,Wie is dat?
un nouveau,een nieuwe / een nieuweling
la bande,de vriendengroep / de vriendenclub
bienvenue,welkom
vite,snel / vlug / gauw
le cours commence,de les begint
on commence,we beginnen
un professeur,een leraar
maintenant,nu
montrez-moi,laat mij zien / laat me zien
je compte,ik tel
lundi,maandag
la rentrée,het begin van het schooljaar / de eerste schooldag
devant la porte,voor de deur
le copain,de vriend
la voisine,de buurvrouw / het buurmeisje
il porte,hij draagt
je lis,ik lees
Présent! / Présente!,Aanwezig!
Épelle ton nom!,Spel je naam!
un collège,een middelbare school
français,Frans
habiter,wonen
la carte,de kaart
anglais / anglaise,Engels / Engelse
l’ami,de vriend
américain / américaine,Amerikaans / Amerikaanse
allemand / allemande,Duits / Duitse
de naam,le nom
de voornaam,le prénom
de stad,la ville
zijn vader,son père
een broer,un frère
een zus,une soeur
Dag!,Salut! / Bonjour!
Goedenavond!,Bonsoir!
tot ziens,au revoir
Ik heet,Je m’appelle
Hoe heet je?,Comment tu t’appelles?
Het gaat wel.,Ça va.
niet slecht,pas mal
daar is / daar zijn,voilà
En jij?,Et toi?
Ik ben,Je suis
hij is,il est
zij is,elle est
er is / er zijn,il y a
ook,aussi
wij zijn,nous sommes
Zijn jullie aanwezig?,Vous êtes présents?
de muziek,la musique
dank je wel,merci
Wat is dat?,C’est quoi?
dat is / het is,c’est
meneer,monsieur
een leerling,un élève / une élève
de school,l’école / le collège / le lycée
rood,rouge
groot,grand / grande
Kom binnen!,Entrez!
Waar kom je vandaan?,Tu es d’où?
Ik kom uit,Je viens de / Je suis de
op,sur
ik houd van,j’aime
Ik stel me voor.,Je me présente.
Ik ben Nederlandse.,Je suis Hollandaise.
jij woont,tu habites
ze zijn,ils sont / elles sont
een jongen,un garçon
een meisje,une fille
Hoi Julie!,Salut Julie!
Goedendag!,Bonjour!
Dag mevrouw.,"Bonjour, madame"
Dag meneer.,"Bonjour, monsieur."
"Tot ziens, meneer!","Au revoir, Monsieur!"
Tot straks!,À plus!
"Tot gauw, Julie!","À bientôt, Julie!"
Hoe heet jij?,Tu t’appelles comment?
Ik heet …,Je m’appelle …
Hoe oud ben jij?,Tu as quel âge?
Ik ben twaalf (jaar).,J’ai douze ans.
Wie is dat?,Qui est-ce?
Dat is meneer La Note.,C’est monsieur La Note.
Dat is mevrouw Lecours.,C’est madame Lecours.
Hoe gaat het?,Ça va?
Hoe gaat het met je?,Comment vas-tu?
Hoe gaat het met jullie/u?,Comment allez-vous?
Het gaat.,Ça va.
Het gaat goed.,Ça va bien.
Damien is Fransman.,Damien est Français.
Julie is Française.,Julie est Française.
John is Engelsman.,John est Anglais.
Jane is Engelse.,Jane est Anglaise.
Sandra is Nederlandse.,Sandra est Hollandaise.
Jürgen is Duitser.,Jürgen est Allemand.
Amir is Marokkaan.,Amir est Marocain.
Bernard is Belg.,Bernard est Belge.
Godelieve is Belgische.,Godelieve est Belge.
We beginnen!,On commence!
Pak je boeken!,Prenez vos livres!
Stilte!,Silence!
Luister!,Écoutez!
le lieu de naissance,de geboorteplaats
domicile actuel,huidige woonplaats
l’animal,het dier
les animaux,de dieren
une tortue,een schildpad
un immeuble,een flatgebouw / een flat
la boulangerie,de bakkerswinkel / de bakkerij / de bakker
le pain,het brood
l’épicerie,de kruidenierswinkel / de kruidenier
le vin,de wijn
la fleuriste,de bloemenwinkel / de bloemist / de bloemiste
la chambre,de kamer / de slaapkamer
chez Clarisse,bij Clarisse thuis / bij Clarisse
sympa / sympathique,aardig / leuk / sympathiek / vriendelijk
Qu’est-ce que,Wat
rose,roze
violet,paars
orange,oranje
vert,groen
le lit,het bed
un ours,een beer
toujours,altijd
Arrête!,Stop! / Houd op!
mon clip préféré,mijn lievelingsclip
Ce n’est pas mon truc!,Dat is niks voor mij!
comme,zoals / als
il va,hij gaat
au premier étage,naar de eerste verdieping / op de eerste verdieping
une rose rouge,een rode roos
elle joue,zij speelt
contre,tegen
la fenêtre,het raam
sauter,springen
une pièce,een vertrek / een kamer
un écran,een scherm / een beeldscherm
autre,ander
magnifique,geweldig / prachtig / magnifiek
viens vite,kom snel / kom vlug / kom gauw
pendant,tijdens / gedurende
D’accord?,Oké? / Akkoord? / Goed?
réponds-moi,antwoord mij / antwoord me
le rez-de-chaussée,de benedenverdieping / de begane grond
le bureau,de werkkamer / de studeerkamer
un séjour,een woonkamer
une salle à manger,een eetkamer
jaune,geel
une chaise,een stoel
une armoire,een kast
noir,zwart
blanc,wit
Pourquoi?,Waarom?
les voisins,de buren
un chat gris,een grijze kat
zingen,chanter
dansen,danser
tekenen,dessiner
klein,petit / petite
de straat,la rue
het huis,la maison
de tuin,le jardin
de neef,le cousin
de tekening,le dessin
leuk,joli / jolie
de viool,le violon
achter,derrière
alleen maar,seulement
het bureau,le bureau
een computer,un ordi / un ordinateur
mijn vader,mon père
ik ben dol op,j’adore
je maakt een grapje,tu rigoles
we gaan zoeken,on va chercher / nous allons chercher
hij woont,il habite
Is dat mogelijk?,C’est possible?
Natuurlijk!,Bien sûr!
een tafel,une table
een bloem,une fleur
al,déjà
moeilijk,difficile
de zanger,le chanteur
februari,février
een uitnodiging,une invitation
de datum,la date
zaterdag,samedi
het adres,l’adresse
een dag,un jour
de vakantie,les vacances
gefeliciteerd,félicitations
Hoe?,Comment?
Hoeveel?,Combien de?
Tot later!,À plus!
leuk / enig,chouette / super / cool / joli
mijn moeder,ma mère
zij werken,ils travaillent / elles travaillent
een keuken,une cuisine
een badkamer,une salle de bains
onder,sous
een fruitboom,un arbre fruitier
gemakkelijk,facile
Waar is dat?,C’est où?
een foto,une photo
Het is een gitaar.,C’est une guitare.
Dat zijn de ouders van Clarisse.,Ce sont les parents de Clarisse.
Waar woon je?,Tu habites où?
"Waar wonen jullie, Damien en Saïd?","Vous habitez où, Damien et Saïd?"
Waar is het?,C'est où?
Ik woon in Straatsburg.,J’habite à Strasbourg.
Wij wonen in een flat.,Nous habitons dans un appartement.
Dat is / ligt dicht bij het station.,C’est près de la gare.
op de tafel,sur la table
onder het bed,sous le lit
in de garage,dans le garage
voor het huis,devant la maison
achter het hotel,derrière l’hôtel
naast het huis,à côté de la maison
tegenover de boerderij,en face de la ferme
links van het hotel,à gauche de l’hôtel
rechts van de flatwoning,à droite de l’appartement
Tot morgen!,À demain
Het is tijd!,C’est l’heure!
Nu ben jij aan de beurt!,À toi maintenant!
Open het boek op blz. 25!,Ouvrez le livre à la page 25!
faire une promenade,een wandeling maken / een ommetje maken / een wandelingetje maken
collectionner,verzamelen
un pompier volontaire,een vrijwillige brandweerman
ancien,voormalig / voormalige / ex- / oude / oud-
Levez!,Doe omhoog!
Baissez!,Doe omlaag!
Tapez!,Stamp! / Klap!
Sautez!,Spring!
Suis la musique!,Volg de muziek!
Fermez les yeux!,Sluit je ogen! / Doe je ogen dicht!
Ne tombez pas!,Val niet! / Niet vallen!
une passion,een passie
l’entraînement,de training
le gâteau,het koekje
un chien,een hond
tout à coup,plotseling / ineens
trouver,vinden
un accident grave,een ernstig ongeluk / een zwaar ongeluk
une urgence,een spoedgeval
je pars,ik vertrek
rendez-vous,verzamelen
gentil,aardig / vriendelijk / sympathiek
apprendre,leren
des chaussures,schoenen
sage,braaf / lief
une équipe,een ploeg / een team
un coup de pied,een aftrap / een schop
au-dessus de,boven / overheen
la première fois,de eerste keer
une femme,een vrouw
alors,dan / dus
devenir,worden
C’est pour ça que,Daarom
vrai,echt
beau-père,stiefvader / schoonvader
Ah oui!,O ja!
au courant,op de hoogte
Je ne comprends pas.,Ik begrijp het niet.
surtout,vooral
fort,hard / luid
heureusement,gelukkig (bijw.)  / gelukkig
un anniversaire,een verjaardag
Hein?,Hè?
une bonne idée,een goed idee
bientôt,binnenkort / gauw
getrouwd met,marié avec
het beroep,le métier
een trainer,un entraîneur
het hoofd,la tête
de arm,le bras
de hand,la main
de vinger,le doigt
de voet,le pied
het been,la jambe
draaien,tourner
de speler,le joueur
praten over,parler de
het water,l’eau
nieuw,nouveau
het mobieltje,le portable
de broekzak,la poche
een sms’je,un texto / un SMS
onmiddellijk,tout de suite
zelfs,même
vandaag,aujourd’hui
ontmoeten,rencontrer
een wandeling,une promenade / une balade
Het is verboden.,C’est interdit.
Net als jullie!,Comme vous!
tussen,entre
vertegenwoordigen,représenter
helpen,aider
aankomen,arriver
een schilderij,un tableau / une peinture
beroemd,célèbre / fameux / connu
de schilder,le peintre
hier,ici
samen,ensemble
kijken naar,regarder
winnen,gagner
dol zijn op,adorer
een hekel hebben aan,détester
sluiten,fermer
dus,donc
opruimen,ranger
zondag,dimanche
mijn vriendin,ma copine / mon amie
Waar houd je van?,Qu’est-ce que tu aimes?
